     file  region                                  year im_ratio ed_ratio
1854 fr99h Languedoc-Roussillon                    1999    1.09     0.617
1855 fr99h Limousin                                1999    1.15     0.606
1856 fr99h Lorraine                                1999    1.07     0.634
1857 fr99h Midi-Pyrénées                           1999    1.13     0.677
1858 fr99h Nord-Pas de Calais                      1999    1.15     0.602
1859 fr99h Pays de la Loire                        1999    0.965    0.668
1860 fr99h Picardie                                1999    1.23     0.617
1861 fr99h Poitou-Charentes                        1999    0.937    0.642
1862 fr99h Provence-Côte d'Azur-Corse              1999    1.10     0.636
1863 fr99h Rhône-Alpes                             1999    1.21     0.658
1864 it00h [1]ITC1 - Piemonte                      2000    1.27     0.531
1865 it00h [10]ITI2 - Umbria                       2000   NA       NA    
1866 it00h [11]ITI3 - Marche                       2000    1.35     0.595
1867 it00h [12]ITI4 - Lazio                        2000    0.920    0.582
1868 it00h [13]ITF1 - Abruzzo                      2000    1.18     0.499
1869 it00h [14]ITF2 - Molise                       2000    1.45     0.776
1870 it00h [15]ITF3 - Campania                     2000    0.968    0.432
1871 it00h [16]ITF4 - Puglia                       2000    1.29     0.505
1872 it00h [17]ITF5 - Basilicata                   2000    1.27     0.528
1873 it00h [18]ITF6 - Calabria                     2000    1.11     0.466
1874 it00h [19]ITG1 - Sicilia                      2000    1.40     0.396
1875 it00h [2]ITC2 - Valle d'Aosta                 2000   NA        0.563
1876 it00h [20]ITG2 - Sardegna                     2000    0.775    0.642
1877 it00h [3]ITC4 - Lombardia                     2000    1.14     0.532
1878 it00h [4]ITH1 and ITH2 - Trentino             2000    1.24     0.687
1879 it00h [5]ITH3 - Veneto                        2000    1.55     0.488
1880 it00h [6]ITH4 - Friuli                        2000    0.873    0.634
1881 it00h [7]ITC3 - Liguria                       2000    1.33     0.588
1882 it00h [8]ITH5 - Emilia Romagna                2000    1.08     0.697
1883 it00h [9]ITI1 - Toscana                       2000    1.00     0.694
1884 it04h [1]ITC1 - Piemonte                      2004    1.34     0.624
1885 it04h [10]ITI2 - Umbria                       2004    1.39     0.631
1886 it04h [11]ITI3 - Marche                       2004    1.44     0.636
1887 it04h [12]ITI4 - Lazio                        2004    0.922    0.693
1888 it04h [13]ITF1 - Abruzzo                      2004    0.927    0.527
1889 it04h [14]ITF2 - Molise                       2004    1.01     0.433
1890 it04h [15]ITF3 - Campania                     2004    0.807    0.549
1891 it04h [16]ITF4 - Puglia                       2004    1.19     0.595
1892 it04h [17]ITF5 - Basilicata                   2004    1.31     0.390
1893 it04h [18]ITF6 - Calabria                     2004    1.15     0.516
1894 it04h [19]ITG1 - Sicilia                      2004    0.955    0.480
1895 it04h [2]ITC2 - Valle d'Aosta                 2004    1.36     0.575
1896 it04h [20]ITG2 - Sardegna                     2004    0.718    0.584
1897 it04h [3]ITC4 - Lombardia                     2004    1.09     0.530
1898 it04h [4]ITH1 and ITH2 - Trentino             2004    1.32     0.495
1899 it04h [5]ITH3 - Veneto                        2004    1.64     0.539
1900 it04h [6]ITH4 - Friuli                        2004    0.904    0.516
1901 it04h [7]ITC3 - Liguria                       2004    1.39     0.599
1902 it04h [8]ITH5 - Emilia Romagna                2004    1.57     0.602
1903 it04h [9]ITI1 - Toscana                       2004    1.37     0.630
1904 it08h [1]ITC1 - Piemonte                      2008    1.25     0.511
1905 it08h [10]ITI2 - Umbria                       2008    1.45     0.746
1906 it08h [11]ITI3 - Marche                       2008    1.43     0.539
1907 it08h [12]ITI4 - Lazio                        2008    1.24     0.557
1908 it08h [13]ITF1 - Abruzzo                      2008    1.07     0.575
1909 it08h [14]ITF2 - Molise                       2008    0.853    0.623
1910 it08h [15]ITF3 - Campania                     2008    1.45     0.497
1911 it08h [16]ITF4 - Puglia                       2008    1.03     0.499
1912 it08h [17]ITF5 - Basilicata                   2008    1.17     0.458
1913 it08h [18]ITF6 - Calabria                     2008    1.92     0.501
1914 it08h [19]ITG1 - Sicilia                      2008    1.05     0.442
1915 it08h [2]ITC2 - Valle d'Aosta                 2008    1.49     0.738
1916 it08h [20]ITG2 - Sardegna                     2008    1.22     0.501
1917 it08h [3]ITC4 - Lombardia                     2008    1.37     0.476
1918 it08h [4]ITH1 and ITH2 - Trentino             2008    1.84     0.760
1919 it08h [5]ITH3 - Veneto                        2008    1.68     0.655
1920 it08h [6]ITH4 - Friuli                        2008    1.70     0.644
1921 it08h [7]ITC3 - Liguria                       2008    1.32     0.763
1922 it08h [8]ITH5 - Emilia Romagna                2008    1.60     0.667
1923 it08h [9]ITI1 - Toscana                       2008    1.21     0.643
1924 it10h [1]ITC1 - Piemonte                      2010    1.32     0.562
1925 it10h [10]ITI2 - Umbria                       2010    1.47     0.649
1926 it10h [11]ITI3 - Marche                       2010    1.62     0.651
1927 it10h [12]ITI4 - Lazio                        2010   NA       NA    
1928 it10h [13]ITF1 - Abruzzo                      2010   NA       NA    
1929 it10h [14]ITF2 - Molise                       2010    0.971    0.551
1930 it10h [15]ITF3 - Campania                     2010   NA       NA    
1931 it10h [16]ITF4 - Puglia                       2010    1.75     0.559
1932 it10h [17]ITF5 - Basilicata                   2010    0.742    0.422
1933 it10h [18]ITF6 - Calabria                     2010    1.11     0.598
1934 it10h [19]ITG1 - Sicilia                      2010    1.16     0.485
1935 it10h [2]ITC2 - Valle d'Aosta                 2010    1.45     0.707
1936 it10h [20]ITG2 - Sardegna                     2010    1.47     0.494
1937 it10h [3]ITC4 - Lombardia                     2010   NA       NA    
1938 it10h [4]ITH1 and ITH2 - Trentino             2010    1.50     0.508
1939 it10h [5]ITH3 - Veneto                        2010   NA       NA    
1940 it10h [6]ITH4 - Friuli                        2010   NA       NA    
1941 it10h [7]ITC3 - Liguria                       2010   NA       NA    
1942 it10h [8]ITH5 - Emilia Romagna                2010   NA       NA    
1943 it10h [9]ITI1 - Toscana                       2010    1.47     0.655
1944 it14h [1]ITC1 - Piemonte                      2014    1.33     0.572
1945 it14h [10]ITI2 - Umbria                       2014    1.92     0.706
1946 it14h [11]ITI3 - Marche                       2014    1.36     0.734
1947 it14h [12]ITI4 - Lazio                        2014    1.45     0.623
1948 it14h [13]ITF1 - Abruzzo                      2014    0.969    0.613
1949 it14h [14]ITF2 - Molise                       2014    1.20     0.588
1950 it14h [15]ITF3 - Campania                     2014    1.37     0.430
1951 it14h [16]ITF4 - Puglia                       2014    1.16     0.566
1952 it14h [17]ITF5 - Basilicata                   2014    1.02     0.805
1953 it14h [18]ITF6 - Calabria                     2014    1.27     0.476
1954 it14h [19]ITG1 - Sicilia                      2014    1.43     0.435
1955 it14h [2]ITC2 - Valle d'Aosta                 2014   NA        0.464
1956 it14h [20]ITG2 - Sardegna                     2014    0.984    0.547
1957 it14h [3]ITC4 - Lombardia                     2014    1.85     0.582
1958 it14h [4]ITH1 and ITH2 - Trentino             2014    1.55     0.757
1959 it14h [5]ITH3 - Veneto                        2014    1.87     0.698
1960 it14h [6]ITH4 - Friuli                        2014    1.48     0.698
1961 it14h [7]ITC3 - Liguria                       2014    1.62     0.690
1962 it14h [8]ITH5 - Emilia Romagna                2014    1.68     0.642
1963 it14h [9]ITI1 - Toscana                       2014    1.32     0.651
1964 it16h [1]ITC1 - Piemonte                      2016    1.69     0.541
1965 it16h [10]ITI2 - Umbria                       2016    1.55     0.738
1966 it16h [11]ITI3 - Marche                       2016    1.55     0.728
1967 it16h [12]ITI4 - Lazio                        2016   NA       NA    
1968 it16h [13]ITF1 - Abruzzo                      2016    1.73     0.650
1969 it16h [14]ITF2 - Molise                       2016    1.36     0.718
1970 it16h [15]ITF3 - Campania                     2016    1.36     0.404
1971 it16h [16]ITF4 - Puglia                       2016    1.48     0.607
1972 it16h [17]ITF5 - Basilicata                   2016    2.28     0.437
1973 it16h [18]ITF6 - Calabria                     2016    1.50     0.457
1974 it16h [19]ITG1 - Sicilia                      2016    1.32     0.376
1975 it16h [2]ITC2 - Valle d'Aosta                 2016   NA        0.674
1976 it16h [20]ITG2 - Sardegna                     2016    1.52     0.546
1977 it16h [3]ITC4 - Lombardia                     2016    1.86     0.526
1978 it16h [4]ITH1 and ITH2 - Trentino             2016    1.05     0.651
1979 it16h [5]ITH3 - Veneto                        2016    1.79     0.686
1980 it16h [6]ITH4 - Friuli                        2016    2.07     0.600
1981 it16h [7]ITC3 - Liguria                       2016    1.65     0.635
1982 it16h [8]ITH5 - Emilia Romagna                2016    1.98     0.685
1983 it16h [9]ITI1 - Toscana                       2016    1.33     0.605
1984 it20h [1]ITC1 - Piemonte                      2020    1.36     0.671
1985 it20h [10]ITI2 - Umbria                       2020    1.02     0.635
1986 it20h [11]ITI3 - Marche                       2020    0.999    0.752
1987 it20h [12]ITI4 - Lazio                        2020    1.32     0.543
1988 it20h [13]ITF1 - Abruzzo                      2020    1.34     0.617
1989 it20h [14]ITF2 - Molise                       2020    1.48     0.444
1990 it20h [15]ITF3 - Campania                     2020    1.07     0.455
1991 it20h [16]ITF4 - Puglia                       2020    1.39     0.525
1992 it20h [17]ITF5 - Basilicata                   2020    1.36     0.442
1993 it20h [18]ITF6 - Calabria                     2020    1.02     0.564
1994 it20h [19]ITG1 - Sicilia                      2020    1.03     0.378
1995 it20h [2]ITC2 - Valle d'Aosta                 2020    1.38     0.860
1996 it20h [20]ITG2 - Sardegna                     2020    1.77     0.418
1997 it20h [3]ITC4 - Lombardia                     2020    1.54     0.599
1998 it20h [4]ITH1 and ITH2 - Trentino             2020    1.33     0.656
1999 it20h [5]ITH3 - Veneto                        2020    1.35     0.551
2000 it20h [6]ITH4 - Friuli                        2020    1.11     0.621
2001 it20h [7]ITC3 - Liguria                       2020    1.44     0.501
2002 it20h [8]ITH5 - Emilia Romagna                2020    1.30     0.661
2003 it20h [9]ITI1 - Toscana                       2020    1.14     0.582
2004 it89h [1]ITC1 - Piemonte                      1989    1.10     0.644
2005 it89h [10]ITI2 - Umbria                       1989    0.977    0.724
2006 it89h [11]ITI3 - Marche                       1989    1.31     0.734
2007 it89h [12]ITI4 - Lazio                        1989    0.675    0.561
2008 it89h [13]ITF1 - Abruzzo                      1989    0.955    0.483
2009 it89h [14]ITF2 - Molise                       1989    1.89     0.582
2010 it89h [15]ITF3 - Campania                     1989    0.741    0.459
2011 it89h [16]ITF4 - Puglia                       1989    1.00     0.486
2012 it89h [17]ITF5 - Basilicata                   1989    1.37     0.458
2013 it89h [18]ITF6 - Calabria                     1989    0.571    0.595
2014 it89h [19]ITG1 - Sicilia                      1989    0.917    0.499
2015 it89h [20]ITG2 - Sardegna                     1989    1.83     0.494
2016 it89h [3]ITC4 - Lombardia                     1989    0.624    0.578
2017 it89h [4]ITH1 and ITH2 - Trentino             1989    1.09     0.729
2018 it89h [5]ITH3 - Veneto                        1989    1.31     0.610
2019 it89h [6]ITH4 - Friuli                        1989    0.940    0.580
2020 it89h [7]ITC3 - Liguria                       1989    1.05     0.655
2021 it89h [8]ITH5 - Emilia Romagna                1989    1.38     0.665
2022 it89h [9]ITI1 - Toscana                       1989    0.951    0.706
2023 it91h [1]ITC1 - Piemonte                      1991    1.12     0.629
2024 it91h [10]ITI2 - Umbria                       1991    0.805    0.695
2025 it91h [11]ITI3 - Marche                       1991    1.20     0.582
2026 it91h [12]ITI4 - Lazio                        1991    0.670    0.556
2027 it91h [13]ITF1 - Abruzzo                      1991    0.919    0.433
2028 it91h [14]ITF2 - Molise                       1991    0.705    0.437
2029 it91h [15]ITF3 - Campania                     1991    0.971    0.569
2030 it91h [16]ITF4 - Puglia                       1991    1.18     0.494
2031 it91h [17]ITF5 - Basilicata                   1991   NA        0.407
2032 it91h [18]ITF6 - Calabria                     1991    0.612    0.609
2033 it91h [19]ITG1 - Sicilia                      1991    1.06     0.484
2034 it91h [20]ITG2 - Sardegna                     1991    1.25     0.673
2035 it91h [3]ITC4 - Lombardia                     1991    1.20     0.589
2036 it91h [4]ITH1 and ITH2 - Trentino             1991    0.861    0.565
2037 it91h [5]ITH3 - Veneto                        1991    1.15     0.569
2038 it91h [6]ITH4 - Friuli                        1991    0.970    0.460
2039 it91h [7]ITC3 - Liguria                       1991    0.757    0.645
2040 it91h [8]ITH5 - Emilia Romagna                1991    0.882    0.695
2041 it91h [9]ITI1 - Toscana                       1991    1.11     0.748
2042 it93h [1]ITC1 - Piemonte                      1993    1.29     0.477
2043 it93h [10]ITI2 - Umbria                       1993    0.832    0.546
2044 it93h [11]ITI3 - Marche                       1993    1.36     0.379
2045 it93h [12]ITI4 - Lazio                        1993    0.844    0.576
2046 it93h [13]ITF1 - Abruzzo                      1993    1.16     0.432
2047 it93h [14]ITF2 - Molise                       1993    1.22     0.398
2048 it93h [15]ITF3 - Campania                     1993    1.16     0.416
2049 it93h [16]ITF4 - Puglia                       1993    1.06     0.405
2050 it93h [17]ITF5 - Basilicata                   1993   NA        0.268
2051 it93h [18]ITF6 - Calabria                     1993    0.908    0.450
2052 it93h [19]ITG1 - Sicilia                      1993    1.13     0.362
2053 it93h [20]ITG2 - Sardegna                     1993    1.02     0.471
2054 it93h [3]ITC4 - Lombardia                     1993    1.11     0.542
2055 it93h [4]ITH1 and ITH2 - Trentino             1993    0.938    0.674
2056 it93h [5]ITH3 - Veneto                        1993    1.16     0.496
2057 it93h [6]ITH4 - Friuli                        1993    1.31     0.368
2058 it93h [7]ITC3 - Liguria                       1993    1.04     0.502
2059 it93h [8]ITH5 - Emilia Romagna                1993    0.779    0.699
2060 it93h [9]ITI1 - Toscana                       1993    1.33     0.681
2061 it95h [1]ITC1 - Piemonte                      1995    1.20     0.512
2062 it95h [10]ITI2 - Umbria                       1995    0.612    0.654
2063 it95h [11]ITI3 - Marche                       1995    1.09     0.559
2064 it95h [12]ITI4 - Lazio                        1995    0.751    0.493
2065 it95h [13]ITF1 - Abruzzo                      1995    1.34     0.426
2066 it95h [14]ITF2 - Molise                       1995    0.961    0.413
2067 it95h [15]ITF3 - Campania                     1995    0.920    0.479
2068 it95h [16]ITF4 - Puglia                       1995    1.07     0.481
2069 it95h [17]ITF5 - Basilicata                   1995    0.312    0.444
2070 it95h [18]ITF6 - Calabria                     1995    1.54     0.485
2071 it95h [19]ITG1 - Sicilia                      1995   NA       NA    
2072 it95h [20]ITG2 - Sardegna                     1995    1.26     0.427
2073 it95h [3]ITC4 - Lombardia                     1995    0.962    0.472
2074 it95h [4]ITH1 and ITH2 - Trentino             1995    0.930    0.406
2075 it95h [5]ITH3 - Veneto                        1995    1.25     0.536
2076 it95h [6]ITH4 - Friuli                        1995    1.13     0.487
2077 it95h [7]ITC3 - Liguria                       1995    0.837    0.549
2078 it95h [8]ITH5 - Emilia Romagna                1995    1.23     0.616
2079 it95h [9]ITI1 - Toscana                       1995    1.18     0.634
2080 it98h [1]ITC1 - Piemonte                      1998    1.49     0.648
2081 it98h [10]ITI2 - Umbria                       1998    0.818    0.619
2082 it98h [11]ITI3 - Marche                       1998    1.42     0.549
2083 it98h [12]ITI4 - Lazio                        1998    0.627    0.613
2084 it98h [13]ITF1 - Abruzzo                      1998    1.13     0.526
2085 it98h [14]ITF2 - Molise                       1998    0.851    0.581
2086 it98h [15]ITF3 - Campania                     1998    0.833    0.517
2087 it98h [16]ITF4 - Puglia                       1998    1.52     0.513
2088 it98h [17]ITF5 - Basilicata                   1998    0.412    0.577
2089 it98h [18]ITF6 - Calabria                     1998    1.29     0.435
2090 it98h [19]ITG1 - Sicilia                      1998    1.16     0.363
2091 it98h [2]ITC2 - Valle d'Aosta                 1998   NA        0.610
2092 it98h [20]ITG2 - Sardegna                     1998    1.31     0.401
2093 it98h [3]ITC4 - Lombardia                     1998    1.16     0.543
2094 it98h [4]ITH1 and ITH2 - Trentino             1998    1.03     0.476
2095 it98h [5]ITH3 - Veneto                        1998    1.16     0.505
2096 it98h [6]ITH4 - Friuli                        1998    0.966    0.530
2097 it98h [7]ITC3 - Liguria                       1998    1.52     0.608
2098 it98h [8]ITH5 - Emilia Romagna                1998    1.49     0.606
2099 it98h [9]ITI1 - Toscana                       1998    1.10     0.720
